user_id,avg_txn_amount,txn_freq_per_day,night_txn_ratio,geo_diversity_score,device_changes_last_30d,foreign_txn_count,return_txn_ratio,linked_accounts_count,risk_tier
55,35903.2168095776,7,0.28,3,0,0,0.02,4,Low
56,65120.27129358068,2,0.35,9,0,1,0.14,4,Medium
57,18293.715675630505,2,0.06,9,1,2,0.22,1,Low
58,25568.698344619606,5,0.08,7,0,0,0.26,3,Low
59,41578.60609562788,4,0.11,3,2,1,0.14,1,Low
60,40538.29181194726,3,0.51,3,0,0,0.18,3,Low
61,8516.911485968261,2,0.13,4,1,0,0.04,1,Low
62,23609.228272102297,4,0.05,7,2,2,0.18,4,Low
63,29339.967407232125,4,0.03,7,0,0,0.07,3,Low
64,44892.11084063536,5,0.58,2,0,0,0.27,1,Low
65,40435.27283035199,1,0.12,5,0,0,0.14,4,Low
66,31447.859280026176,2,0.01,7,0,0,0.26,2,Low
67,4282.1016381200125,1,0.1,7,1,1,0.11,1,Low
68,32653.42388902921,4,0.05,6,1,1,0.17,1,Low
69,34912.78055570447,1,0.32,8,0,1,0.1,2,Low
70,145959.9557756574,3,0.06,3,0,0,0.08,1,Low
71,28609.195452612665,1,0.11,1,0,0,0.12,2,Low
72,41741.19044927995,2,0.23,3,0,0,0.09,3,Low
73,72404.2551776193,5,0.09,2,1,0,0.25,2,Low
74,56761.45392944721,4,0.23,2,1,3,0.14,4,Medium
75,84256.09161222959,3,0.25,2,1,1,0.11,2,Low
76,8658.24438815373,3,0.35,5,1,0,0.15,3,Low
77,13741.237883206511,5,0.04,1,0,1,0.1,2,Low
78,20745.340888844537,3,0.12,4,1,1,0.12,2,Low
79,7186.343897045094,2,0.0,5,1,0,0.23,3,Low
80,35135.145872162946,1,0.18,2,1,1,0.14,1,Low
81,14783.55421141034,2,0.38,5,2,0,0.12,1,Low
82,91504.1749336418,1,0.04,4,1,0,0.27,4,Low
83,16924.017608905782,2,0.03,8,2,0,0.06,4,Low
84,25690.064357392792,1,0.25,1,2,0,0.1,2,Low
85,59059.24319408506,3,0.02,5,1,0,0.12,1,Low
86,10582.76113934987,3,0.26,1,3,0,0.37,1,Medium
87,6671.663298199823,6,0.3,4,1,0,0.18,2,Low
88,38331.43487555225,5,0.18,8,0,1,0.15,3,Low
89,40503.80971499506,6,0.44,1,0,2,0.03,1,Low
90,57869.09279647661,1,0.21,2,1,1,0.08,4,Low
91,48707.54440055496,2,0.05,1,0,0,0.22,2,Low
92,41604.47341140579,4,0.06,7,2,0,0.07,3,Low
93,18677.628339084527,2,0.47,2,2,0,0.2,4,Low
94,39696.89823273889,1,0.38,1,1,0,0.3,1,Low
95,41487.48520321405,4,0.0,6,0,0,0.12,3,Low
96,18081.685856170352,4,0.34,6,1,1,0.1,4,Low
97,108441.51039556853,1,0.14,2,1,1,0.03,2,Low
98,47125.47141536219,4,0.08,1,2,1,0.14,3,Low
99,13969.23490940793,3,0.02,3,1,0,0.21,3,Low
100,58065.55810404523,1,0.04,5,1,0,0.06,2,Low
101,64907.90280807799,2,0.14,6,1,1,0.03,1,Low
102,45167.566975228314,1,0.21,3,0,0,0.15,1,Low
103,27390.396762778604,2,0.02,9,0,0,0.11,3,Low
104,17413.706920924196,2,0.25,5,2,0,0.34,3,Low
105,31381.94392704196,3,0.07,2,2,0,0.05,3,Low
106,42940.51891444604,4,0.05,6,1,0,0.24,4,Low
107,33670.16899383298,4,0.0,8,0,1,0.18,3,Low
108,86710.5443397523,0,0.08,6,4,1,0.14,1,Medium
109,52238.25671694112,3,0.18,4,1,0,0.28,2,Low
110,15738.401087558637,0,0.09,6,2,0,0.3,2,Low
111,12623.753096584476,3,0.01,8,1,1,0.12,2,Low
112,47407.02230034583,1,0.09,8,0,0,0.2,3,Low
113,27890.050519387012,4,0.39,2,2,0,0.15,3,Low
114,55376.2429237872,5,0.04,8,2,0,0.06,2,Medium
115,47106.11257172984,1,0.07,6,0,0,0.17,4,Low
116,31488.037588525207,3,0.2,2,2,1,0.14,4,Low
117,15901.213621201136,3,0.02,1,1,1,0.2,4,Low
118,7523.994493730439,3,0.12,6,1,0,0.2,4,Low
119,39172.414833955794,2,0.21,7,0,0,0.16,1,Low
120,10405.030672380644,3,0.11,5,2,0,0.14,2,Low
121,15324.082588113943,3,0.24,8,0,0,0.27,1,Low
122,37462.12559973296,4,0.21,9,3,3,0.1,3,Medium
123,34858.97751038584,3,0.03,4,2,1,0.36,4,Low
124,11674.43912946964,1,0.15,7,0,0,0.15,4,Low
125,69846.53127047107,2,0.03,8,1,1,0.13,2,Medium
126,68617.16860896818,4,0.04,6,2,1,0.14,4,Low
127,48478.28416751729,1,0.17,2,0,1,0.09,2,Low
128,48436.88908195961,4,0.34,7,0,0,0.07,3,Low
129,48478.69578261463,2,0.39,9,0,0,0.03,4,Low
130,64531.19893714127,1,0.53,5,3,1,0.24,4,Medium
131,53139.507216564976,5,0.41,2,2,0,0.3,1,Medium
132,17095.956214950726,6,0.13,4,1,2,0.27,2,Low
133,27584.969614086403,1,0.09,3,1,1,0.31,2,Low
134,135930.64396448975,7,0.15,4,1,2,0.06,4,Low
135,4629.686381425404,4,0.21,7,2,0,0.09,1,Low
136,22572.594189389147,3,0.2,8,1,1,0.19,4,Low
137,70096.25112056592,3,0.02,1,2,0,0.1,2,Low
138,18065.33652471673,0,0.02,8,1,2,0.3,2,Low
139,54139.58576698446,3,0.46,5,0,0,0.28,4,Medium
140,34523.892767937105,3,0.1,7,6,0,0.08,3,Medium
141,19180.898340592845,1,0.06,1,1,1,0.02,4,Low
142,3620.2243424231724,0,0.0,2,2,0,0.31,1,Low
143,38383.05039870936,2,0.12,1,1,0,0.29,2,Low
144,16772.186429656886,4,0.05,5,1,2,0.06,2,Low
145,30457.74750549615,6,0.15,6,2,0,0.09,4,Low
146,48146.01939851552,3,0.07,9,0,1,0.04,3,Low
147,61056.24596694156,3,0.04,8,0,0,0.23,2,Medium
148,22512.647115480475,2,0.06,7,0,1,0.17,4,Low
149,19150.032306483354,1,0.26,5,1,1,0.33,3,Low
150,10226.121558565936,0,0.26,3,1,0,0.23,4,Low
151,63092.581447928336,2,0.04,9,0,0,0.15,4,Medium
152,123634.51951017218,6,0.08,5,0,1,0.05,4,Low
153,67729.52766399336,6,0.15,3,0,0,0.02,2,Low
154,77912.021052854,3,0.03,3,3,0,0.05,3,Medium
155,18196.681910446314,3,0.15,3,0,1,0.1,1,Low
156,46156.033301113464,2,0.02,6,2,0,0.12,1,Low
157,57601.38997921555,5,0.44,1,1,0,0.12,2,Medium
158,13262.771948626427,3,0.09,4,0,1,0.29,2,Low
159,95743.04292531924,2,0.1,8,1,0,0.23,4,Medium
160,8364.268672019667,2,0.5,3,1,0,0.34,4,Low
161,86113.14031791569,2,0.01,5,1,0,0.08,3,Low
162,8305.642553938416,3,0.05,2,1,0,0.24,4,Low
163,13870.7531988955,1,0.1,2,3,1,0.33,3,Medium
164,46745.00986272675,6,0.04,7,1,1,0.33,4,Low
165,35168.29276543892,4,0.05,3,0,0,0.01,4,Low
166,24341.532663540223,6,0.43,5,1,0,0.09,1,Low
167,93342.87610779681,2,0.06,3,1,0,0.04,2,Low
168,10499.453762041157,5,0.24,6,2,0,0.17,3,Low
169,29565.844011193196,2,0.09,3,1,2,0.19,1,Low
170,50947.901809978095,3,0.15,8,1,0,0.11,4,Medium
171,41127.61820410063,6,0.01,2,3,0,0.27,1,Low
172,19701.791424039187,6,0.22,3,0,0,0.13,3,Low
173,20314.211679308737,5,0.29,8,0,1,0.08,2,Low
174,60433.99844517546,4,0.05,8,0,1,0.17,1,Medium
175,62373.8263773154,3,0.18,1,0,1,0.03,3,Low
176,41913.976656577135,1,0.08,8,1,1,0.17,4,Low
177,16183.43874331046,4,0.15,2,2,0,0.35,1,Low
178,20860.677838233776,3,0.43,7,1,0,0.3,2,Low
179,32796.56376927056,4,0.18,6,1,0,0.23,3,Low
180,36455.41147836445,2,0.02,2,1,1,0.26,2,Low
181,49548.72236956177,2,0.37,5,3,1,0.15,4,Low
182,28380.54445286359,4,0.37,7,0,0,0.24,2,Low
183,59510.24465004442,4,0.17,8,2,1,0.23,4,Medium
184,59058.95657349026,1,0.06,3,0,1,0.47,4,Medium
185,79679.0736615705,2,0.07,1,0,1,0.12,1,Low
186,33878.59658473915,4,0.03,7,1,0,0.21,4,Low
187,42423.37684053278,2,0.29,5,1,1,0.13,2,Low
188,30084.704132281964,3,0.05,5,3,0,0.16,1,Low
189,16355.893650339978,5,0.35,7,0,1,0.11,4,Low
190,121801.9243967026,2,0.07,1,1,1,0.3,3,Low
191,73068.3345601808,2,0.06,8,1,0,0.17,3,Medium
192,58236.85856903767,2,0.27,5,0,1,0.3,4,Low
193,33018.121853843804,2,0.05,8,1,1,0.06,1,Low
194,15118.962084219209,4,0.04,5,1,0,0.1,1,Low
195,65381.878191064054,2,0.51,7,1,0,0.15,1,Medium
196,29678.67581405676,2,0.08,3,1,0,0.21,2,Low
197,45172.32635444629,3,0.14,2,0,2,0.14,3,Low
198,20793.80904112946,2,0.08,6,2,1,0.4,4,Low
199,40066.83503289973,2,0.06,5,0,0,0.07,4,Low
200,21882.6412524049,2,0.63,9,1,0,0.18,3,Low
201,22590.390395334056,5,0.09,4,1,1,0.36,2,Low
202,39690.98756500353,4,0.48,3,1,0,0.42,1,Low
203,8181.309501878172,4,0.06,9,0,0,0.11,3,Low
204,8599.381572162412,4,0.0,8,0,0,0.05,4,Low
205,18011.48875805843,4,0.14,6,0,0,0.18,2,Low
206,28120.30309102118,4,0.23,1,2,0,0.04,4,Low
207,60743.85825772574,0,0.01,1,3,1,0.14,1,Medium
208,29371.926326700068,1,0.16,6,1,1,0.17,3,Low
209,32857.60748479017,4,0.52,3,0,1,0.08,1,Low
210,26421.89086762838,1,0.05,3,0,1,0.17,2,Low
211,42379.49059477304,4,0.51,6,1,0,0.18,3,Low
212,16211.591174534493,1,0.01,3,1,0,0.17,1,Low
213,30603.278680021656,2,0.18,6,1,0,0.22,1,Low
214,44818.49585145156,2,0.18,5,0,1,0.16,1,Low
215,39460.61616465207,1,0.23,4,0,2,0.15,2,Low
216,33659.52599285165,4,0.03,8,1,1,0.13,1,Low
217,33970.19675092633,7,0.08,2,1,1,0.17,4,Low
218,47915.806536235454,3,0.1,7,0,1,0.06,3,Low
219,125563.98393757896,4,0.34,4,1,0,0.21,3,Low
220,17186.736667043377,5,0.23,2,2,0,0.16,1,Low
221,127867.04653570113,3,0.06,7,0,0,0.1,2,Medium
222,16515.79222658572,2,0.0,1,1,0,0.08,4,Low
223,3070.269905579621,3,0.04,4,2,1,0.04,4,Low
224,21517.80018906317,2,0.35,9,0,0,0.16,3,Low
225,42958.98521670701,2,0.09,4,2,0,0.13,3,Low
226,109031.9363196041,4,0.02,3,2,0,0.34,4,Medium
227,15101.283367042972,1,0.1,2,1,0,0.07,3,Low
228,47716.16191205569,5,0.08,3,0,0,0.11,1,Low
229,9544.798892998784,2,0.28,1,1,0,0.03,4,Low
230,106507.79376600418,3,0.16,8,1,0,0.18,3,Medium
231,74001.59622021104,6,0.01,1,0,1,0.11,1,Low
232,22627.517197136214,3,0.44,3,3,0,0.2,1,Medium
233,81933.85582156634,3,0.12,3,0,1,0.13,4,Low
234,30462.527546224133,7,0.01,2,0,1,0.23,1,Low
235,76596.41225339347,3,0.45,5,0,1,0.25,4,Medium
236,33468.908469847,1,0.21,3,2,1,0.09,1,Low
237,34561.14105355588,0,0.01,3,2,0,0.15,4,Low
238,23010.777586048556,3,0.35,8,2,0,0.08,4,Low
239,52140.17082953126,1,0.09,4,0,0,0.37,4,Medium
240,36536.825611326196,2,0.08,4,0,0,0.18,4,Low
241,48458.51889642464,1,0.09,3,4,1,0.09,1,Low
242,7341.0747698594505,3,0.15,1,1,1,0.14,4,Low
243,78402.61481189032,1,0.07,8,2,0,0.1,3,Medium
244,91565.82318623249,2,0.12,1,2,0,0.29,1,Low
245,36410.13177662336,4,0.01,7,3,0,0.05,4,Medium
246,119874.13283809782,3,0.08,5,0,1,0.17,1,Low
247,102300.83312822292,4,0.23,4,1,1,0.21,1,Low
248,52927.83683065992,2,0.14,4,1,1,0.27,1,Low
249,82629.89264072517,2,0.11,8,2,2,0.04,1,Medium
250,68810.48496512996,3,0.14,6,0,0,0.26,4,Low
251,5422.594018073861,1,0.51,1,1,0,0.13,1,Low
252,26849.926378918928,2,0.15,8,0,0,0.04,3,Low
253,55504.61547119474,4,0.37,2,1,0,0.11,1,Low
254,95545.14596757089,6,0.12,6,1,1,0.15,1,Low
255,8888.87836628705,4,0.36,9,0,0,0.24,3,Low
256,5859.781439631561,1,0.21,1,1,1,0.16,4,Low
257,31919.569885137942,4,0.03,6,0,0,0.21,3,Low
258,3377.25690791808,4,0.01,8,1,0,0.17,2,Low
259,31084.806884600366,1,0.09,2,1,0,0.34,3,Low
260,43723.09033941872,5,0.17,5,0,0,0.16,4,Low
261,14478.515910459826,2,0.21,6,0,1,0.32,3,Low
262,31741.01583938334,1,0.21,5,1,0,0.08,1,Low
263,64576.953524327735,4,0.07,3,1,1,0.12,4,Low
264,21431.081540021707,3,0.33,4,1,1,0.12,2,Low
265,16766.435954014512,3,0.01,7,1,0,0.31,4,Low
266,30645.487810814277,6,0.23,4,0,1,0.05,1,Low
267,13111.734074789181,4,0.38,9,0,0,0.17,2,Low
268,114148.19999064325,9,0.11,2,0,1,0.0,4,Low
269,34252.14961129231,3,0.0,5,0,1,0.16,4,Low
270,18334.03014566804,2,0.19,8,1,3,0.08,1,Medium
271,39169.14183123321,3,0.13,5,2,0,0.02,3,Low
272,30516.339616100253,2,0.13,8,1,0,0.2,3,Low
273,27947.249203891148,5,0.38,8,1,0,0.26,2,Low
274,21426.3978939523,4,0.15,9,0,0,0.21,1,Low
275,20566.668198304797,3,0.01,6,0,1,0.05,1,Low
276,7520.703774843101,5,0.08,4,1,1,0.25,3,Low
277,82546.81365545624,3,0.18,3,2,0,0.19,3,Low
278,50546.05820703131,1,0.1,5,0,0,0.09,2,Low
279,42032.9231335796,3,0.17,6,1,0,0.32,3,Low
280,30138.400420020953,7,0.35,3,0,0,0.11,2,Low
281,14247.837513217439,3,0.42,2,2,0,0.1,4,Low
282,17369.95463963502,2,0.26,7,0,0,0.17,2,Low
283,8445.55247856698,5,0.4,5,1,1,0.2,2,Low
284,19270.84278789267,2,0.45,9,1,0,0.17,2,Low
285,12480.287074381984,4,0.11,3,3,0,0.29,4,Low
286,98626.93074851016,1,0.04,8,0,1,0.04,3,Medium
287,61672.30005171543,3,0.14,6,1,0,0.42,2,Medium
288,35371.145871369445,8,0.4,4,0,1,0.49,3,Low
289,15673.883470315322,3,0.14,9,1,1,0.19,2,Low
290,13083.97767021704,5,0.11,5,0,1,0.18,3,Low
291,28656.378605649203,6,0.48,6,0,0,0.09,2,Low
292,63421.68655300741,5,0.11,9,2,0,0.07,3,Medium
293,8692.803899929662,4,0.24,7,0,1,0.25,1,Low
294,50084.40771952092,3,0.05,5,0,1,0.09,4,Low
295,19198.011966337024,4,0.1,2,1,0,0.08,2,Low
296,22271.427941324215,0,0.09,4,1,0,0.46,4,Low
297,34601.917581861984,8,0.79,2,1,0,0.06,2,Low
298,16152.275668387676,2,0.03,3,1,0,0.09,1,Low
299,27536.534392917594,4,0.11,3,0,0,0.17,1,Low
300,14962.368784845943,0,0.44,4,2,0,0.15,4,Low
301,20548.838137067483,1,0.13,6,2,0,0.28,2,Low
302,56888.87604782773,7,0.14,3,0,1,0.13,3,Low
303,35964.42416914389,4,0.05,1,1,0,0.11,2,Low
304,56741.35651806628,5,0.14,1,0,1,0.02,3,Low
305,18984.663160644548,1,0.37,9,1,1,0.23,4,Low
306,50343.27420973414,5,0.02,9,0,0,0.37,4,Medium
307,6496.010949737567,1,0.33,5,2,1,0.19,1,Low
308,34590.35952390353,2,0.41,9,2,1,0.22,3,Low
309,52689.81011694953,1,0.01,7,2,0,0.03,2,Medium
310,6205.561109847254,4,0.03,9,2,0,0.16,1,Low
311,19176.687328041808,3,0.23,7,2,0,0.08,4,Low
312,34572.20042443628,1,0.49,9,1,2,0.36,1,Medium
313,66651.21232191942,3,0.17,2,0,1,0.52,2,Medium
314,20546.583872279123,2,0.03,8,0,0,0.06,2,Low
315,48969.42879626101,2,0.05,7,0,1,0.14,4,Low
316,86127.49792947769,1,0.1,6,0,0,0.28,1,Low
317,50563.61678318323,3,0.21,5,3,1,0.02,3,Medium
318,28360.7704385502,2,0.05,4,2,1,0.07,3,Low
319,43863.94127510721,3,0.37,7,0,0,0.37,3,Low
320,20044.068805930252,3,0.05,3,2,1,0.32,2,Low
321,35619.4298209064,5,0.08,8,1,1,0.05,1,Low
322,29473.16894669357,6,0.3,2,0,1,0.17,3,Low
323,42832.111620803575,3,0.02,1,1,0,0.14,1,Low
324,23789.575930657153,5,0.01,2,0,1,0.09,4,Low
325,44590.54190615447,2,0.17,9,3,2,0.26,3,Medium
326,23602.270836350745,2,0.13,5,0,0,0.07,1,Low
327,61264.03145456977,4,0.32,8,1,0,0.05,2,Medium
328,25604.167575641364,3,0.12,3,1,0,0.14,4,Low
329,3544.4578148102705,2,0.46,7,4,1,0.21,4,Medium
330,13491.769431511178,1,0.29,2,2,1,0.28,4,Low
331,33811.15900210542,5,0.09,8,2,0,0.08,4,Low
332,98058.39857520658,3,0.38,7,1,1,0.1,2,Medium
333,59661.95703543006,4,0.07,5,2,0,0.12,2,Low
334,2633.3936387706112,1,0.07,4,0,1,0.12,3,Low
335,7876.44764214248,3,0.48,1,0,0,0.2,2,Low
336,72444.59013264927,4,0.43,5,1,0,0.18,2,Medium
337,52486.48988316125,2,0.07,9,3,0,0.04,4,Medium
338,133053.65601182845,2,0.05,4,3,0,0.17,2,Medium
339,22823.81894569697,2,0.2,9,2,1,0.05,4,Low
340,15853.172836502346,4,0.45,2,1,0,0.28,1,Low
341,35215.52078788127,5,0.23,4,1,0,0.02,1,Low
342,22458.78488849969,2,0.09,9,0,0,0.33,1,Low
343,67939.94365911074,2,0.15,4,0,0,0.05,1,Low
344,21822.758842624586,4,0.1,5,0,1,0.16,1,Low
345,26839.464405326926,0,0.14,8,3,1,0.21,1,Medium
346,13910.294069688438,3,0.72,1,2,0,0.06,1,Low
347,56947.79854888572,0,0.0,1,2,0,0.27,4,Low
348,14742.432174650692,2,0.26,9,2,0,0.22,4,Low
349,45188.24685176419,2,0.35,9,0,1,0.06,4,Low
350,109067.49779137984,1,0.13,4,0,1,0.29,4,Low
351,5270.302912572834,4,0.6,2,0,1,0.14,2,Low
352,88803.23362696236,5,0.18,9,1,2,0.03,2,Medium
353,41097.23300828973,1,0.24,4,0,1,0.11,3,Low
354,11900.145090427452,4,0.1,6,1,1,0.13,2,Low
355,36238.42741727359,0,0.07,1,0,0,0.08,4,Low
356,55803.4758393977,6,0.01,9,0,0,0.04,4,Medium
357,16805.6328118531,5,0.04,5,1,0,0.12,1,Low
358,47048.60786451284,1,0.07,3,0,0,0.2,1,Low
359,93711.1469009021,5,0.52,4,0,1,0.23,3,Medium
360,21799.420331949736,1,0.01,1,2,0,0.07,2,Low
361,13754.56423429539,4,0.16,9,1,0,0.05,4,Low
362,30189.869397139515,2,0.34,8,1,0,0.13,2,Low
363,34792.94544054629,1,0.05,4,2,0,0.14,3,Low
364,70318.59816213588,3,0.12,2,3,0,0.04,1,Medium
365,29417.766753380343,3,0.04,9,0,2,0.12,4,Low
366,23481.527489772252,6,0.19,4,1,1,0.13,1,Low
367,13435.081737992417,0,0.11,9,4,1,0.16,4,Medium
368,6261.824482068578,3,0.07,3,2,0,0.13,1,Low
369,9888.408456078767,5,0.17,7,1,0,0.41,1,Low
370,9829.747633943058,1,0.16,7,2,0,0.21,3,Low
371,27069.927395146846,3,0.1,4,2,1,0.45,2,Low
372,7636.58428613453,4,0.24,2,0,0,0.06,1,Low
373,31951.006954379976,2,0.15,9,1,0,0.03,4,Low
374,107490.88237461189,3,0.39,4,3,1,0.15,2,Medium
375,71702.4807609501,7,0.07,8,1,0,0.07,2,Medium
376,26861.509975697547,1,0.02,2,0,0,0.21,1,Low
377,153702.91948095785,3,0.11,8,1,0,0.1,1,Medium
378,34885.84469945188,3,0.09,5,0,0,0.05,1,Low
379,38713.90327149416,1,0.1,7,2,0,0.2,2,Low
380,29743.1702015316,1,0.1,7,2,0,0.43,3,Low
381,32494.779216817868,2,0.76,9,0,1,0.14,1,Low
382,21178.82371656169,2,0.03,3,0,1,0.12,2,Low
383,27173.76099735451,6,0.1,4,2,0,0.21,2,Low
384,89198.22903703274,1,0.07,4,0,1,0.21,4,Low
385,76968.79539202177,3,0.34,5,5,0,0.37,1,Medium
386,3343.9888806321387,3,0.01,6,1,0,0.11,3,Low
387,8598.880163905505,4,0.14,3,1,0,0.28,4,Low
388,17013.512015855893,2,0.01,4,0,1,0.28,1,Low
389,63799.09835509827,3,0.17,3,2,0,0.06,4,Low
390,78123.39477436949,4,0.15,2,1,1,0.07,1,Low
391,55654.55235320797,2,0.16,9,1,1,0.1,4,Medium
392,11853.91171499662,3,0.27,1,0,0,0.39,3,Low
393,21541.622007940994,2,0.07,2,1,1,0.09,4,Low
394,47632.75917929489,4,0.05,8,2,2,0.25,4,Low
395,27505.23603873138,1,0.23,7,0,0,0.05,4,Low
396,24561.89162127371,3,0.4,1,2,0,0.18,1,Low
397,24854.884651520897,5,0.02,5,1,1,0.12,1,Low
398,73121.45625793864,2,0.08,6,0,1,0.38,3,Medium
399,51111.978750946546,4,0.26,5,1,0,0.05,4,Low
400,25962.653536091024,2,0.05,4,5,0,0.06,2,Low
401,42483.04009666984,1,0.01,1,3,0,0.06,4,Low
402,10341.301620424627,3,0.51,7,3,0,0.08,2,Medium
403,21576.327219020222,4,0.11,9,2,0,0.12,2,Low
404,68417.10894794886,7,0.03,6,1,2,0.17,4,Low
405,7131.103654000444,4,0.03,3,2,1,0.23,2,Low
406,51556.46052852619,6,0.37,4,0,0,0.08,2,Low
407,3296.612125502984,4,0.18,5,1,1,0.15,4,Low
408,99123.44303406957,1,0.03,1,0,1,0.36,1,Medium
409,21150.321157415252,1,0.58,5,1,0,0.4,4,Low
410,44737.53195232203,7,0.15,1,2,0,0.04,3,Low
411,36370.520087214725,4,0.12,9,1,0,0.05,2,Low
412,37366.66045934518,3,0.05,7,4,1,0.06,3,Medium
413,41929.0859744897,3,0.08,3,0,0,0.2,2,Low
414,5804.969570009104,3,0.18,9,1,2,0.14,1,Low
415,37942.555525063086,3,0.15,2,2,0,0.08,2,Low
416,28804.996437976508,1,0.01,7,1,0,0.14,4,Low
417,21248.84001453232,1,0.01,9,1,0,0.37,2,Low
418,17005.465346076104,3,0.5,6,1,0,0.04,3,Low
419,38650.04853967693,0,0.02,5,0,1,0.15,4,Low
420,13915.931650950513,3,0.17,7,1,2,0.1,3,Low
421,67592.53223298694,3,0.05,6,2,0,0.29,1,Low
422,47085.30127310197,0,0.19,5,2,2,0.04,3,Low
423,40390.63052023217,2,0.01,2,1,1,0.13,3,Low
424,65688.67615773802,1,0.37,8,1,0,0.27,3,Medium
425,4814.8518449079675,2,0.62,7,1,1,0.11,4,Low
426,10008.144822340359,4,0.29,6,1,0,0.17,1,Low
427,48565.29687438366,4,0.16,5,2,0,0.04,1,Low
428,17886.742311025893,1,0.08,5,0,0,0.14,1,Low
429,19905.827700842805,3,0.04,9,1,1,0.17,3,Low
430,8607.78318194609,3,0.08,1,1,0,0.24,4,Low
431,13952.012419833105,2,0.23,9,1,1,0.05,4,Low
432,68610.47301634881,2,0.13,6,0,1,0.13,4,Low
433,47762.04842617385,3,0.1,4,0,0,0.19,3,Low
434,38337.16742744249,2,0.1,7,2,0,0.16,1,Low
435,20570.044486263534,3,0.1,9,2,0,0.11,3,Low
436,36583.89797399122,2,0.5,5,1,1,0.07,4,Low
437,72683.95820793313,1,0.01,5,1,0,0.14,3,Low
438,18274.280410547726,0,0.01,8,0,1,0.19,2,Low
439,32438.071113402046,3,0.17,7,0,0,0.21,1,Low
440,103146.14577762899,4,0.23,8,0,0,0.07,1,Medium
441,55150.24438300969,4,0.03,2,1,0,0.24,4,Low
442,20817.52787032007,3,0.08,9,3,0,0.04,3,Medium
443,52103.996215314575,3,0.2,3,1,1,0.06,4,Low
